created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Jul 31 06:08:59 +0000 2023;1685895311057952768;"Sodetan Ciliwung dibangun untuk mengalirkan sebagian debit banjir dari Sungai Ciliwung menuju Kanal Banjir Timur (KBT). Tidak hanya sebagai pengendali banjir, kawasan tersebut juga dilengkapi sejumlah fasilitas umum seperti taman bermain, tempat kebugaran luar ruangan, toilet… https://t.co/UmaagJslpY";31;209;539;3481;in;366987179;1685895311057952768;jokowi;https://twitter.com/jokowi/status/1685895311057952768
Mon Jul 31 06:04:06 +0000 2023;1685894084807028736;"Penanganan banjir di Jakarta memang harus dilakukan komprehensif dari hulu sampai ke hilir. Masih ada 12 sungai lain di Jakarta yang perlu ditangani. Ada Sungai Sunter, Sungai Cipinang, Sungai Mookervart, Sungai Pesanggrahan, dll, serta ancaman  banjir rob ke daratan Jakarta. https://t.co/JWCmbXYulY";0;9;58;400;in;366987179;1685894063416041472;jokowi;https://twitter.com/jokowi/status/1685894084807028736
Mon Jul 31 06:04:05 +0000 2023;1685894078347829248;"Sodetan Ciliwung baru dapat menyelesaikan masalah banjir di enam kelurahan atau sekitar 62% dari masalah banjir di Jakarta. Sisanya, masih harus diselesaikan oleh Kementerian PUPR dan Pemprov DKI Jakarta secara bersama. https://t.co/FsWfiyO4vI";1;7;64;429;in;366987179;1685894063416041472;jokowi;https://twitter.com/jokowi/status/1685894078347829248
Mon Jul 31 06:04:03 +0000 2023;1685894070324039680;"Sodetan Ciliwung telah dikerjakan hampir 11 tahun dengan anggaran hingga Rp1,150 triliun. Sodetan Ciliwung berupa dua terowongan sepanjang 1,2 km untuk mengalirkan air dari Kali Ciliwung di titik inlet di Jalan Otista menuju Kanal Banjir Timur saat siaga banjir. https://t.co/sr4GdVRDBy";0;3;52;271;in;366987179;1685894063416041472;jokowi;https://twitter.com/jokowi/status/1685894070324039680
Mon Jul 31 06:04:01 +0000 2023;1685894063416041472;"Pemerintah telah menyelesaikan pembangunan sejumlah infrastruktur yang dapat mendukung penanganan banjir di DKI Jakarta.   Dua bendungan kering di hulu di Kab. Bogor, yakni Waduk Ciawi dan Waduk Sukamahi, sudah selesai. Dan hari ini, saya meresmikan Sodetan Ciliwung di Jakarta. https://t.co/yhmlFEnBAz";16;185;527;2988;in;366987179;1685894063416041472;jokowi;https://twitter.com/jokowi/status/1685894063416041472
Sat Jul 29 11:16:40 +0000 2023;1685247966146330624;"Dua bulan lalu, saya memesan kemeja putih kepada para siswa SMK Negeri 4 Kota Jambi yang saya dapati sedang melaksanakan praktikum di jurusan tata busana. Kemeja inilah yang saya pakai, kali ini dalam kunjungan ke Bengkulu. Pas banget di badan saya, enak dipakai, kualitas… https://t.co/pwZCbljgOS";31;221;727;5058;in;366987179;1685247966146330624;jokowi;https://twitter.com/jokowi/status/1685247966146330624
Sat Jul 29 02:33:54 +0000 2023;1685116409490386944;"Pembukaan FISU World University Games berlangsung meriah di Dong’an Lake Sports Park Stadium, Chengdu, semalam. Saya dan Ibu Negara hadir dan menyaksikan defile atlet dari 119 negara di lapangan, dari tribun bersama pemimpin negara lainnya.   Di pentas olahraga mahasiswa sedunia… https://t.co/HlrBaAIkmd";9;98;404;3002;in;366987179;1685116409490386944;jokowi;https://twitter.com/jokowi/status/1685116409490386944
Fri Jul 28 13:19:11 +0000 2023;1684916412866007040;"Menyaksikan penandatanganan sejumlah dokumen kerja sama dalam membangun ekosistem hilirisasi industri kaca dan panel surya di Indonesia di Hotel Shangri-La, Chengdu, hari ini.  Perjanjian kerja sama itu dilakukan bersama Xinyi Glass, perusahaan bidang kaca terbesar di dunia.… https://t.co/7sSvsA9aAJ";12;157;334;2521;in;366987179;1684916412866007040;jokowi;https://twitter.com/jokowi/status/1684916412866007040
Fri Jul 28 09:24:28 +0000 2023;1684857343555883008;"Jumat siang di Chengdu, RRT. Kami menunaikan ibadah salat Jumat di Hotel Shangri-La.  Bertindak sebagai khatib sekaligus imam adalah Bapak Muhadjir Effendy, Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan. https://t.co/XNSBM6nOMe";26;160;487;4781;in;366987179;1684857343555883008;jokowi;https://twitter.com/jokowi/status/1684857343555883008
Fri Jul 28 09:22:21 +0000 2023;1684856809813929984;"Bersama Presiden Xi Jinping dan Madam Peng Liyuan menjelang jamuan santap siang bersama di Hotel Jinniu, Chengdu, hari ini.  Santap siang dalam rangka FISU World University Games 2023 ini dihadiri sejumlah pemimpin negara lainnya. https://t.co/b9dX1c7JwN";8;125;328;2862;in;366987179;1684856809813929984;jokowi;https://twitter.com/jokowi/status/1684856809813929984
